epoch,acc,loss,val_acc,val_loss
0,0.9270666241645813,0.0034421158488839865,0.9653846025466919,1.1013750736310612e-05
1,0.9887712597846985,1.2602195056388155e-05,0.982692301273346,3.238694989704527e-05
2,0.9801090955734253,2.961568497994449e-05,1.0,1.3630946341436356e-05
3,0.9811784625053406,2.608440991025418e-05,0.9913461804389954,1.4298324458650313e-05
4,0.9900545477867126,7.3361193244636524e-06,0.9913461804389954,3.245611651436775e-06
5,0.9908031225204468,6.034561465639854e-06,0.9740384817123413,7.5867560553888325e-06
6,0.9912309050559998,5.139450877322815e-06,0.982692301273346,4.187443209957564e-06
7,0.9920864105224609,4.963181254424853e-06,0.982692301273346,4.2762158045661636e-06
8,0.992300271987915,5.256135409581475e-06,0.9913461804389954,2.685133495106129e-06
9,0.9906961917877197,5.249059540801682e-06,0.982692301273346,4.201994215691229e-06
10,0.991765558719635,5.520213107956806e-06,0.9913461804389954,4.17485216530622e-06
11,0.9908031225204468,5.439235792437103e-06,0.9913461804389954,5.467780283652246e-06
12,0.991765558719635,5.6874782785598654e-06,0.9913461804389954,2.967224645544775e-06
13,0.9908031225204468,5.60891612622072e-06,0.9913461804389954,5.981517006148351e-06
14,0.9915516972541809,6.1104997257643845e-06,0.9913461804389954,8.486385013384279e-06
15,0.9906961917877197,6.0266361288086046e-06,0.9913461804389954,9.521708307147492e-06
16,0.9911239147186279,7.559945061075268e-06,0.9913461804389954,6.0711595324391965e-06
17,0.9906961917877197,6.8244617068558e-06,0.9913461804389954,3.729499439941719e-06
18,0.9901614785194397,6.730746463290416e-06,0.9913461804389954,2.815495690811076e-06
19,0.9889851212501526,8.260118192993104e-06,0.9740384817123413,1.4213789654604625e-05
0,0.947920024394989,0.0009887701598927379,0.9653846025466919,1.5120665011636447e-05
1,0.9690942168235779,5.55418009753339e-05,0.9740384817123413,7.3263263402623124e-06
2,0.9842797517776489,2.5861825633910485e-05,0.9913461804389954,6.060357463866239e-06
3,0.9809646010398865,4.548810829874128e-05,0.9740384817123413,4.290016022423515e-06
4,0.9915516972541809,5.8633672779251356e-06,0.9913461804389954,3.316896254546009e-06
5,0.992193341255188,4.906587037112331e-06,0.982692301273346,5.80828464080696e-06
6,0.992193341255188,4.09297399528441e-06,0.982692301273346,3.3785931918828283e-06
7,0.993155837059021,3.928585556423059e-06,0.982692301273346,4.2511387619015295e-06
8,0.9929419159889221,4.170943611825351e-06,0.9913461804389954,2.256002971989801e-06
9,0.9918725490570068,4.132877165829996e-06,0.9913461804389954,3.198448894181638e-06
10,0.992300271987915,4.313199042371707e-06,0.9913461804389954,3.0042058369872393e-06
11,0.991765558719635,4.27475697506452e-06,0.9913461804389954,3.772458740058937e-06
12,0.992300271987915,4.360628736321814e-06,1.0,2.3453039830201305e-06
13,0.9910169839859009,4.437321422301466e-06,0.9913461804389954,5.1260044529044535e-06
14,0.9919794797897339,4.805597200174816e-06,0.9913461804389954,6.369646598614054e-06
15,0.992300271987915,4.772882675752044e-06,0.9913461804389954,5.883851827093167e-06
16,0.9918725490570068,6.038163064658875e-06,0.9913461804389954,5.590329692495288e-06
17,0.9919794797897339,5.219212653173599e-06,0.9913461804389954,2.5498361537756864e-06
18,0.991765558719635,5.23569542565383e-06,0.9913461804389954,2.4203002340073e-06
19,0.9901614785194397,5.975326985208085e-06,0.9740384817123413,1.3201913134253118e-05
0,0.9217196106910706,0.0025076211895793676,0.9653846025466919,2.026477704930585e-05
1,0.9870601892471313,1.8800348698277958e-05,0.982692301273346,8.538808469893411e-05
2,0.984386682510376,3.2190040656132624e-05,1.0,7.575331437692512e-06
3,0.9826756715774536,2.8041382392984815e-05,0.982692301273346,6.934545581316343e-06
4,0.9910169839859009,7.570492016384378e-06,1.0,2.998048330482561e-06
5,0.9918725490570068,5.6915637287602294e-06,0.982692301273346,7.314427875826368e-06
6,0.9915516972541809,4.80921062262496e-06,0.982692301273346,4.2614847188815475e-06
7,0.992193341255188,4.699506916949758e-06,0.982692301273346,3.303067160231876e-06
8,0.992621123790741,4.806779998034472e-06,0.9913461804389954,2.53085727308644e-06
9,0.9912309050559998,4.898264251096407e-06,0.982692301273346,3.9788251342542935e-06
10,0.991765558719635,5.336303274816601e-06,0.9913461804389954,3.0062810765230097e-06
11,0.9904823303222656,5.1115571295667905e-06,0.982692301273346,3.4642555419850396e-06
12,0.9910169839859009,5.135026640346041e-06,0.9913461804389954,2.6920415621134453e-06
13,0.9913378357887268,5.497885922522983e-06,0.9913461804389954,8.025143870327156e-06
14,0.991765558719635,6.096096058172407e-06,0.9913461804389954,8.772538421908394e-06
15,0.9915516972541809,5.7924694374378305e-06,1.0,7.457923402398592e-06
16,0.9910169839859009,6.732947895216057e-06,1.0,6.6475290623202454e-06
17,0.9911239147186279,6.6411721491022035e-06,1.0,4.8294432417606e-06
18,0.9908031225204468,6.175607268232852e-06,0.9913461804389954,5.308668733050581e-06
19,0.9897336959838867,7.4177632995997556e-06,0.982692301273346,8.95688481250545e-06
